strip,pixel,x,y
0,1,938,923
0,2,931,881
0,3,948,909
0,4,957,858
0,5,957,809
0,6,946,781
0,7,947,800
0,8,907,809
0,9,906,866
0,10,956,859
0,11,953,927
0,12,927,971
0,13,966,953
0,14,960,879
0,15,934,861
0,16,931,848
0,17,905,787
0,18,899,734
0,19,922,707
0,20,917,720
0,21,956,750
0,22,905,760
0,23,901,713
0,24,894,691
0,25,886,635
0,26,939,645
0,27,900,629
0,28,886,661
0,29,900,644
0,30,908,637
0,31,964,653
0,32,932,694
0,33,946,681
0,34,976,638
0,35,979,628
0,36,990,575
0,37,976,527
0,38,926,533
0,39,902,586
0,40,924,621
0,41,953,629
0,42,977,582
0,43,958,556
0,44,894,581
0,45,883,526
0,46,915,499
0,47,873,462
0,48,930,470
0,49,881,469
0,50,925,451
0,51,940,455
0,52,989,452
0,53,1038,423
0,54,981,399
0,55,953,431
0,56,969,463
0,57,977,512
0,58,969,541
0,59,918,563
0,60,957,525
0,61,971,493
0,62,979,463
0,63,991,429
0,64,984,383
0,65,960,406
0,66,957,444
0,67,1000,420
0,68,979,419
0,69,995,384
0,70,1000,367
0,71,948,345
0,72,975,335
0,73,958,358
0,74,998,320
0,75,1022,367
0,76,1055,343
0,77,1017,313
0,78,1008,317
0,79,976,342
0,80,1012,367
0,81,1015,409
0,82,989,439
0,83,956,465
0,84,924,489
0,85,929,442
0,86,969,421
0,87,996,396
0,88,953,357
0,89,905,384
0,90,911,418
0,91,852,409
0,92,879,391
0,93,888,389
0,94,904,406
0,95,961,416
0,96,974,384
0,97,980,361
0,98,968,315
0,99,975,294
0,100,992,259
0,101,1035,354
0,102,1024,335
0,103,1050,297
0,104,1019,268
0,105,1015,288
0,106,1016,316
0,107,1004,339
0,108,973,368
0,109,941,382
0,110,885,384
0,111,853,357
0,112,899,319
0,113,882,282
0,114,857,283
0,115,806,285
0,116,825,276
0,117,853,303
0,118,886,269
0,119,856,237
0,120,896,211
0,121,894,228
0,122,927,249
0,123,947,281
0,124,912,304
0,125,909,340
0,126,925,375
0,127,924,355
0,128,911,340
0,129,924,325
0,130,926,283
0,131,940,310
0,132,934,328
0,133,911,348
0,134,878,351
0,135,848,347
0,136,877,335
0,137,883,283
0,138,914,306
0,139,936,341
0,140,901,322
0,141,914,317
0,142,916,290
0,143,952,285
0,144,952,242
0,145,902,239
0,146,924,275
0,147,931,296
0,148,910,283
0,149,931,268
0,150,934,263
0,151,894,253
0,152,904,233
0,153,860,257
0,154,850,218
0,155,889,186
0,156,928,210
0,157,939,232
0,158,973,243
0,159,984,266
0,160,1019,260
0,161,1001,290
0,162,1007,312
0,163,976,308
0,164,954,342
0,165,938,296
0,166,987,298
0,167,995,293
0,168,988,260
0,169,1011,246
0,170,969,275
0,171,999,240
0,172,1060,259
0,173,1023,301
0,174,1011,280
0,175,990,239
0,176,1025,220
0,177,1052,264
0,178,1060,234
0,179,1069,235
0,180,1057,203
0,181,1031,233
0,182,1019,251
0,183,1005,276
0,184,956,263
0,185,965,266
0,186,970,250
0,187,949,213
0,188,895,238
0,189,909,257
0,190,876,283
0,191,878,235
0,192,880,242
0,193,855,247
0,194,809,228
0,195,817,181
0,196,854,201
0,197,886,191
0,198,934,166
0,199,956,184
